AAE	above aerodrome elevation 
ANCS	Aeronautical navigation chart - small scale (followed by name/title and scale)
ANO	Air Navigation Order
ANS	Answer
ANTA	Australian National Training Authority
ANVIS	Aviator Night Vision Imaging Systems
AO	Air Operator
AOC	Air Operators Certificate
AOC	Aerodrome Obstacle Chart (followed by name/title)
AOCM	Air Operators Certification Manual
AOD	Alcohol and Other Drug
AOG	Aircraft On Ground
AOPA	Aircraft Owners and Pilots Association
AP	Airport
APAPI	Abbreviated Precision Approach Path Indicator (pronounced 'AY-PAPI')
APCH	Approach
APDC	Aircraft Parking/Docking Chart (followed by name/title)
APF	Australian Parachute Federation
APMA	Australian Parts Manufacturer Approval
APN	Apron
APP	Approach Control
APRX	"Approximate, Approximately"
APSG	After Passing
APU	Auxillary power unit
APV	Approach with Vertical Guidance
APV	"Approve, Approved, Approval"
AQZ	Area QNH Zone
ARC	Area Chart
ARFFS	Aerodrome Rescue and Fire Fighting Service (sometimes referred to as RFFS)
ARFL	Aeroplane Reference Field Length
ARFO	Area Forecast
ARH	Aircraft Registration Holder
ARM	Airspace Risk Model
ARM	Aircraft Recovery Manual
ARN	Aviation Reference Number
ARNG	Arrange
ARO	Air traffic services reporting office
AROC	Aircraft radio operator certificate
ARP	Aerodrome reference point
ARP	Air-Report (message type designator)
ARQ	Automatic error correction
ARR	"Arrive, Arrival"
ARS	Special Air-Report (message type designator)
ARST	Arresting (specify (part of) aircraft arresting equipment)
AS	Altostratus (meteorological)
AS	Australian Standard
ASA	Australian Skydiving Association
ASAC	Australian Sports Aviation Confederation
ASAP	As Soon as Possible
ASC	Ascend to or ascending
ASDA	Accelerate-stop distance available
ASE	Airborne Support Equipment
ASE	Altimetry System Error
ASEPTA	Approved Single-engine Turbine Aeroplane
ASF	Aviation Safety Forum
ASH	Aviation Services Handbook
ASI	Air Speed Indicator
ASI	Aviation Safety Index
ASIR	Aviation Safety Incident Report
ASPH	Asphalt
ASR	Area Surveillance Radar
ASRA	Australian Sport Rotorcraft Association
ASSI	Air Safety Support International- a wholly-owned subsidiary of the UK Civil Aviation Authority
ASTM	American Society for Testing Materials
ASTRA	Australian Strategic Air Traffic Management Group
AT-VASIS	Abbreviated 'T' Visual Approach Slope Indicator System (pronounced 'AY-TEE-VASIS')
AT...	At (followed by time at which weather change is forecast to occur)
ATA	Actual Time of Arrival
ATA	Air Transport Association
ATC	Air Traffic Control (in general)
ATD	Actual Time of Departure
ATE	Automatic Test Equipment
ATEL/ANAV	Aeronautical Telecommunication and Radio Navigation Services
ATFM	Air Traffic Flow Management
ATIS	Automatic terminal information service
ATM	Air traffic management
ATN	Aeronautical telecommunications network
ATO	Aviation Testing Officer
ATP	At.. (time or place)
ATPL	Airline Transport Pilot Licence
ATS	Air Traffic Service(s)
ATSB	Australian Transport Safety Bureau
ATSO	Australian Technical Standard Order
ATSOA	Australian Technical Standard Order Authorisation
ATTN	Attention
ATZ	Aerodrome traffic zone
AUF	Australian Ultralight Federation (now Recreational Aviation Australia)
AUTH	"Authorised, Authorisation"
AUW	All Up Weight
AUX	Auxiliary
AVBL	Available
AVG	Average
AVGAS	Aviation Gasoline
AVM	Abrupt Vertical Manoeuvres (by the MIL)
AWB	Airworthiness Bulletin
AWIB	Aerodrome Weather Information Broadcast
AWK	Aerial Work (Air work - general aviation)
AWO	Aerial work operation
AWS	Automatic Weather Station
AWTA	Advise as to what time is available
AWY	Airway
AZM	Azimuth
B	Blue
BA	Braking action
BAK	Basic aeronautical knowledge
BASA	Bilateral Aviation Safety Agreement
BASE	Cloud Base (met)
BCFG	Fog Patches (met)
BCN	Beacon (aeronautical ground light)
BCST	Broadcast
BDRY	Boundary
BECMG	Becoming
BETA	Manually controlled mode for constant speed propellers or turbo prop aircraft
BFR	Before
BIP-M	Basic Instruction Package for Meteorologists
BIPMT	Basic Instruction Package for Meteorological Technicians
BITE	Built In Test Equipment
BKN	Broken (cloud descriptor) (met)
BL...	"Blowing (followed by DU=dust, SA=sand or SN=snow)"
BLDG	Building
BLO	Below Clouds
BLW	Below
BOM	Bureau of Meteorology
BOMB	Bombing
BR	Mist
BRF	Short (used to indicate type of approach)
BRG	Bearing
BRKG	Braking
BRW	Brakes release weight
BS	Broadcasting Station (Commercial)
BTL	Between Layers
BTN	Between
BVLOS	Beyond visual line of sight
C	Degrees Celsius (Centigrade)
C	Centre (Runway)
CA	Course Acquisition
CA/GRO	Certified Air/Ground Radio Operator
CA/GRS	Certified Air/Ground Radio Service
CAA NZ	Civil Aviation Authority New Zealand
CAAP	Civil Aviation Advisory Publication
CAGRO	Certified Air Ground Radio Operation
CAMO	Continuing Airworthiness Management Organisation
CAMP	Continuous Airworthiness Maintenance Program
CAO	Civil Aviation Order
CAR	Civil Aviation Regulations 1988
CAS	Calibrated air speed
CASA	Civil Aviation Safety Authority
CASR	Civil Aviation Safety Regulation
CASR	Civil Aviation Safety Regulations 1998
CAT	Category
CAT	Clear Air Turbulence
CAVOK	"Visibility, cloud and present weather better than prescribed values or conditions"
CB	Cumulonimbus (met)
CBT	Competency-based Training
CC	Cirrocumulus (met)
CCA	"Corrected meteorological message (for CCB, CCC..etc., in sequence) (message type designator)"
CCF	Capability Check Flight
CCTS	Circuits
CD	Candela
CDCCL	Critical Design Configuration Control Limit
CDI	Course Direction Indicator
CDL	Configuration Deviation List
CDN	Coordination (message type designator)
CEN	En Route and Area ATC unit
CEO	Chief Executive Officer
CET	Clearance Expiry Time
CF	Change Frequency to
CFI	Chief Flying Instructor
CFIT	Controlled Flight into Terrain
CFL	Cleared Flight Level
CFM	"Confirm, I confirm"
CG	Centre of gravity
CGL	Circling guidance light(s)
CH	This is a channel continuity check of transmission to permit comparision of your record of channel-sequence numbers of messages received on the channel (to be used in AFS as a procedure signal)
CHG	Modification (message type designator)
CHTR	Charter
CI	Cirrus (met)
CIDIN	Common ICAO data interchange network
CIR	Command Instrument Rating
CIT	"Near, Over Large Town(s)"
CIV	Civil
CK	Check
CL	Centre Line
CLA	Clear type of ice formation
CLBR	Calibration
CLD	Cloud (met)
CLG	Calling
CLIAS	Climbing Indicated Airspeed
CLMAX	Maximum Co-efficient of Lift
CLR	"Clear, Cleared to... Clearance"
CLSD	"Closed, Close, Closing"
CM (cm)	Centimetre
CMB	Climb to or Climbing to
CMM	Component Maintenance Manual
CMPL	"Configuration, Maintenance and Procedures"
CMPL	"Completion, Completed, or Complete"
CMR	Certification Maintenance Requirements
CMSD	Commissioned
CNL	Cancel
CNL	Flight plan cancellation message
CNS	"Communications, Navigation and Surveillance"
COA	Certificates of Approval (issued to maintenance organisations)
CofA	Certificate of Airworthiness
COM	Communications
CONC	Concrete
COND	Condition
CONS	Continuous
CONST	"Construction, Constructed"
CONT	"Continue(s), Continued"
COOR	"Coordinate, Coordinated"
COORD	Coordinates
COP	Change over point
CoR	Certificate of Registration
COR	"Correct, Corrected, Correction"
COS	Conical Surface
COT	"At the Coast, Coastal"
COV	"Cover, Covered, Covering"
CP	Chief Pilot
CPDLC	Controller-Pilot Data Link Communication
CPL	Commercial Pilot Licence
CPL	Current flight plan
CRC	Cyclic redundancy check
CRIS	Cost Recovery Impact Statement
CRM	Crew Resource Management
CRZ	Cruise
CS	Cirrostratus (met)
CS	Call sign
CSDD	Common Support Data Dictionary published by the Air Transport Association of America (ATA). The CSDD replaces the WATOG.
CSU	Constant Speed Unit
CTA	Control Area
CTAF	Common Traffic Advisory Frequency
CTAF(R)	Common Traffic Advisory Frequency - (Radio)
CTAM	Climb to and maintain
CTC	Category Technical Competency
CTC	Contact
CTL	Control
CTN	Caution
CTR	Control Zone
CU	Cumulus (met)
CUF	Cumuliform (met)
CUST	Customs
CVR	Cockpit voice recorder
CW	Carrier Wave
CWY	Clearway
D	Deleted
D	Downward (tendency in RVR (Runway visual range) during previous 10 minutes)
D-ATIS	Data Link Automatic Terminal Information Service (pronounced'DEE-ATIS')
D-VOLMET	Data Link VOLMET
D...	Danger Area (followed by identification)
DA	Decision Altitude
DA/H	Decision Altitude/Height
DALR	Dry Adiabatic Lapse Rate
DAME	Designated Aviation Medical Examiner
DAO	Designated Aviation Ophthamologist
DAP	Departure and Approach Procedures
DCD	Double channel duplex
DCKG	Docking
DCMSD	Decommissioned
DCPC	Direct Controller-Pilot Communications
DCS	Double channel simplex
DCT	Direct (in relation to flight plan clearances and type of approach)
DE	Form (used to preceed the call sign of the calling station) (to be used in AFS as a procedure signal)
DEC	December
DEG	Degrees
DEP	"Depart, Departure, Departed, Departing, Departure Message"
DER	Departure End of Runway
DER	Designated Engineering Representative
DES	"Descend to, Descending to"
DEST	Destination
DETRESFA	Distress Phase
DEV	"Deviation, Deviating"
DF	Direction Finder/ Finding
DFDR	Digital Flight Data Recorder
DFTI	Distance from touchdown indicator
DGA	Distance Measuring Equipment or Global Positioning Satellite System Arrival
DH	Decision Height
DIF	Diffuse
DISP	Displaced
DIST	Distance
DIV	"Diversion, Divert, Diverting"
DLA	Delay (message type designator)
DLIC	Data Link Initiation Capability
DLY	Daily
DMC	Direct Maintenance Cost
DME	Distance Measuring Equipment
DMEN	DME (International)
DMEP	DME (International Precision used in conjunction with Microwave Landing System)
DNG	"Danger, Dangerous"
DOC	Direct Operating Cost
DOC	Documents
DoD	Department of Defence
DOM	Domestic
DP	Dew Point Temperature
DP	Discussion Paper
DPT	Depth
DR	Dead Reckoning (navigation)
DR...	"Low drifting (followed by DU=dust, SA=sand or SN=snow)"
DRG	During
DS	Dust storm
DSB	Double sideband
DTAM	Descend to And Maintain
DTG	Date-Time Group
DTHR	Displaced Runway Threshold
DTRT	"Deteriorate, Deteriorating"
DTW	Dual tandem wheels
DU	Dust
DUC	Dense Upper Cloud (met)
DUPE	This is a duplicate message (to be used in Aeronautical Fixed Service as a procedure signal)
DUR	Duration
DVOR	Doppler VOR
DW	Dual wheels
DZ	Drizzle
E	"East, East Longitude"
E E E	Error (to be used in AFS as a procedure signal)
EASA	European Aviation Safety Agency
EAT	Expected Approach Time
EB	Eastbound
ECAR	European Civil Aviation Requirement (formerly JAR)
EDTO	Extended Diversion Time Operations
EET	Estimated Elapsed Time
EFB	Electronic Flight Bag
EFC	Expect further clearance
EGNOS	European Geostationary Navigation Overlay System
EGPWS	Enhanced Ground Proximity Warning System
EHF	"Extremely high frequency (30,000 to 300,000 MHz)"
EHR	Encumbrance Holder Register
ELBA	Emergency locator beacon-aircraft
ELEV	Elevation
ELR	Extra Long Range
ELT(S)	Emergency Locator Transmitter (Survival)
EM	Engine Manual
EM	Explanatory Memorandum (submitted to EXCO with regulation amendment)
EM	Emission
EMBD	Embedded in a Layer (to indicate cumulonimbus embedded in layers of other clouds)
EMERG	Emergency
EMS	Emergency Medical Service
EMS	Environment Management System
END	Stop-end (related to RVR)
ENDCE	Endurance
ENE	East North-East
ENG	Engine
ENR	En Route
ENRC	En Route Chart (followed by name/title)
EOBT	Estimated off Blocks Time
EPA	Environment Protection Agency
EPIRB	Electronic Position Indicating Radio Beacon (marine term.)
EQPT	Equipment
ER	Here..or herewith
ERC	En-route Chart
ERP	Emergency Response Plan
ERSA	En-route Supplement Australia
ES	Explanatory Statement (tabled with regulations in Parliament)
ESD	Electrostatic sensitive discharge
ESDE	ESD equipment
ESE	East Southeast
ESIR	Electronic safety incident report
EST	Estimate or estimated or estimate (message type designator)
ETA	"Estimated Time of Arrival, Estimating Arrival"
ETCM	Engine trend and condition monitoring
ETD	"Estimated Time of Departure, Estimating Departure"
ETO	Estimated Time Over significant point
ETOPS	Extended range operations by turbine-engined aeroplanes
ETP	Equi Time Interval
ETT	Estimated Time Interval
EV	Every
EVLOS	Extended visual line of sight
EVU	Enforceable Voluntary Undertaking
EXC	Except
EXCO	Executive Council
EXER	"Exercises, Exercising, to exercise"
EXP	"Expect, Expected, Expecting"
EXTD	"Extend, Extending, Extended"
F	Fixed (chart symbol)
FAA	Federal Aviation Administration of the USA
FAAOC	Foreign Aircraft Air Operator's Certificate
FAC	"Facility, Facilities"
FADEC	Full Authority Digital Engine Control
FAF	Final Approach Fix
FAL	Facilitation of International Air
FAP	Final Approach Point
FARs	Federal Aviation Regulations (Federal Aviation Administration of the USA)
FATO	Final approach and take-off area
FAWP	Final Approach Waypoint
FAX	Facsimile Transmission
FBL	"Light (used to indicate the intensity of WX phenomena, interference or static reports, eg BL RA = light rain)"
FC	Funnel Cloud (tornado or water spout)
FCST	Forecast
FCT	Friction coefficient
FD	Fault Detection
FDE	Fault detection and exclusion (in relation to GPS equipment)
FDL	Fixed Distance Lighting
FDPS	Flight Data Processing system
FDS	Flight Director System
FEW	Few (cloud descriptor)
FFR	"Flood, Fire Relief"
FG	Fog
FIA	Flight Information Area
FIC	Flight Information Centre
FIO	Flight Information Office
FIR	Flight Information Region
FISA	Flight information service (automated)
FISS	Flight Information Service Station
FIX	Fault Isolation Manual
FL	Flight Level
FLD	Field
FLG	Flashing
FLIR	Forward Looking Infra Red
FLR	Flares
FLT	Flight
FLTCK	Flight check
FLUC	"Fluctuating, Fluctuation, Fluctuated"
FLW	"Follow(s), Following"
FLY	"Fly, Flying"
FM	From
FM...	From (followed by time weather change is forecast to begin)
FMS	Flight Management System
FMU	Flow Management Unit
FNA	Final Approach
FNPT	Flight and Navigation Procedures Trainer
FOD	Foreign Object Damage
FOI	Flying Operations Inspector
FPD	Flight Plan Designator
FPL	Filed Flight Plan Message
FPM	Feet per Minute
FPR	Flight Plan Route
FPV	First person view
FR	Fuel Remaining
FREQ	Frequency
FRM	Fault Reporting Manual
FRMS	Fatigue Risk Management System
FRNG	Firing
FRONT	Front (relating to weather)
FRQ	Frequent
FS	Flight Service (in general)
FSA	Flight Safety Australia
FSL	Full Stop Landing
FSP	Fish Spotting
FSS	Flight service station
FST	First
FT	Feet
FTD	Flight training device
FTE	Full time equivalent
FTO	Flight Training Organisation
FU	Smoke
FXD	Fixed
FZ	Freezing
FZDZ	Freezing Drizzle
FZFG	Freezing Fog
FZL	Freezing Level
FZRA	Freezing Rain
G	Gravity
G	Green
G/A	Ground-to-air
G/A/G	Ground-to-air and air-to-ground
GA	"Go ahead, resume sending (to be used in AFS as a procedure signal)"
GA	General Aviation
GAAP	General Aviation Aerodrome Procedures
GAMET	Area forecast for low-level flights
GAPAN	"Honourable Company of Air Pilots, Australia, Inc."
GBAS	Ground Based Augmentation System
GCA	Ground Controlled Approach
GCN	General Computing Network (operated by Airservices Australia)
GDOP	Geometric Dilution of Precision
GEN	General
GEO	"Geographic, true"
GES	Ground Earth Station
GFA	The Gliding Federation of Australia
GFY	Glider Flying
GHA	Ground handling agents
GIVD	Gravity Induced Vestibular Dysfunction
GLD	Glider
GLOC	Gravity Induced Loss of Consciousness
GLONASS	Global Orbiting Navigation Satellite System (pronounced 'GLO-NAS')
GM	Guidance Material
GMC	Ground Movement Chart (followed by name/title)
GND	Ground
GNDCK	Ground Check
GNS	Global Navigation System
GNSS	Global navigation satellite system
GP	Guiding principles
GP	Glide Path
GP	FLG Group Flashing (number) (used in conjunction with aerodrome lighting)
GPI	Glide Path Intercept
GPS	Global positioning system (see GNSS)
GPWS	Ground proximity warning system
GR	Hail
GRAD	Minimum Required Climb Gradient
GRAS	Ground Based Regional Augmentation System
GRASS	Grass Landing Area
GRIB	Processed meteoroglogical data in the form of grid point values expressed in binary form (aeronautical meterological code)
GRVL	Gravel
GS	Groundspeed
GS	Small Hail and/or Snow Pellets
GSE	Ground Support Equipment
GUND	Geoid Undulation
H24	Continuous day and night service
HAA	Height Above Aerodrome
HAA	Helicopter Association of Australia
HAAMC	Head of Aircraft Airworthiness and Maintenance Control
HAM	Head of Aircraft Maintenance
HAMC	Head of Aircraft Maintenance Control
HAPI	Helicopter approach path indicator
HAT	Height Above Threshold
HBN	Hazard Beacon
HDF	High frequency direction-finding station
HDG	Heading
HDS	Hours of Daylight Saving
HEL	Helicopter
HF	Human Factors
HF	"High Frequency (3000 to 30,000 KHZ)"
HFEM	Human Factor and Error Management System
HGFA	Hang Gliding Federation of Australia Inc
HGS	Heads-up Guidance System
HGT	"Height, Height Above"
HIAL	High Intensity Approach Lighting
HIOL	High Intensity Obstacle Lights
HIRL	High Intensity Runway Lighting
HJ	Sunrise to Sunset
HLDG	Holding
HLS	Helicopter Landing Site
HMI	Human-machine Interface
HN	Sunset to Sunrise
HO	Service available to meet operational requirements
HOFO	Head of Flying Operations
HOO	Head of Operations
HOSP	Hospital Aircraft
HOTAS	Head of Training and Standards
HOTC	Head of Training and Checking
HP	Horse Power
HPA	HectoPascal
HR	Hours
HS	Homestead
HS	Service available during hours of scheduled operations
HSL	Hold Short Lights
HUD	Head Up Display
HURCN	Hurricane
HVDF	High and very high frequency direction finding stations (at the same location)
HVY	Heavy
HVY	"Heavy (used to indicate the intensity of WX phenomena, eg HVY RA = heavy rain)"
HX	No specific working hours
HYR	Higher
HZ	Haze
HZ (hz)	Hertz
HZS	Horizontal Surface
IA	Inspection authorisation
IAC	Instrument approach chart (followed by name/title)
IAF	Initial Approach Fix
IAL	Instrument Approach and Landing Chart
IAO	In and out of clouds
IAP	Instrument Approach Plate
IAR	Intersection of air routes
IAS	Indicated air speed
IATA	International Air Transport Association
IAW	In Accordance With
IAWP	Initial Approach Way-point
IBN	Identification Beacon
IC	Ice Crystals (MET code)
ICA	Instructions for continuing airworthiness (issued by manufacturer or designer)
ICAO	International Civil Aviation Organization
ICE	"Icing, Ice"
ICUS	In-command Under Supervision
ID	"Identifier, identify"
IDENT	Identification
IF	Instrument Flight
IF	Intermediate Approach Fix
IFF	Identification Friend/Foe
IFR	Instrument flight rules
IFSD	In-flight Shutdown
IG	Implementation Group
IGA	International general aviation
ILS	Instrument Landing System
IM	Inner Marker
IMC	Instrument meteorological conditions (other than VMC)
IMC	Indirect Maintenance Cost
IMG	Immigration
IMI	Interrogation sign
IMPR	"Improve, Improving, Improvement"
IMT	"Immediate, Immediately"
INA	Initial approach
INBD	Inbound
INC	In Cloud
INCERFA	Uncertainty Phase
INFO	Information
INOP	Inoperative
INP	If not possible
INPR	In progress
INS	Inertial Navigation System
INSTL	"Install, Installed, Installation"
INSTR	Instrument
INT	Intersection
INTER	"Intermittent, Intermittently (meteorological)"
INTL	International
INTRG	Interrogator
INTRP	"Interrupt, Interruption, Interrupted"
INTSF	"Intensify, Intensifying"
INTST	Intensity
IoA	Instrument of appointment
IOC	Indirect Operating Cost
IOE	Initial Operational Experience
IPC	Illustrated Parts Catalogue
IR	Ice on runway
IREX	Instrument Training Examination
IRM	Immediately Reportable Matters
IRS	Internal Reporting System
ISA	International Standard Atmosphere
ISB	Independent Sideband
ISIM	Integrated Safety Investigation Methodology
ISO9000	International Organization for Standardization
ISOL	Isolated
ITT	Interstage Turbine Temperature
IWI	Illuminated Wind Indicator
IWP	Intermediate Way-point
J-BAR	Jet Barrier
JAA	Joint Aviation Authorities (of Europe)
JAR	Joint Aviation Requirements (of the European JAA)
JAR-OPS	JAR Operations
JTSO	Joint Technical Standard Order
JTST	Jet Stream
KDR	Knowledge Deficiency Report
KG (kg)	Kilograms
KHZ (kHz)	Kilohertz
KM (km)	Kilometers
KMH (km/h)	Kilometers per hour
KPA (kPa)	Kilopascals
KT (kt)	Knots
KW (kw)	Kilowatts
L	Left (runway identification)
L	"Locator (see LM, LO)"
LAAS	Local Area Augmentation System
LAHSO	Land and Hold Short Operations
LAME	Licensed Aircraft Maintenance Engineer
LAN	Inland
LAT	Latitude
LDA	Landing distance available
LDG	Landing
LDI	Landing Direction Indicator
LDP	Landing decision point
LEN	Length
LF	Low Frequency (30 to 300 KHZ)
LGT	"Light, Lighting"
LGTD	Lighted
LIH	Light Intensity High
LIL	Light Intensity Low
LIM	Light Intensity Medium
LIOL	Low Intensity Obstacle Lights
LIRL	Low Intensity Runway Lights
LJR	Low Jet Route
LL	Lower Limit
LLN	Low-level Navigation (by the MIL)
LLO	Low Level Operations (by the MIL)
LLZ	Localizer
LM	Locator (middle)
LMT	Local mean time
LO	Locator (outer)
LOC	"Locally, Location, Located, Local"
LOE	Lane of Entry
LONG	Longitude
LOSA	Line Operations Safety Audit
LPT	Liquid Penetrant Test
LRCS	Long-range communication system
LRG	Long Range
LRI	Line Replaceable Item
LRNS	Long-range navigation system
LRU	Line Replaceable Unit
LSA	Light Sport Aircraft
LSALT	Lowest safe altitude
LSd	CASA's Legal Services Division
LTD	Limited
LUL	Lowest Usable Level
LV	Light and Variable (relating to wind)
LVE	"Leave, Leaving"
LVL	Level
LYR	"Layer, Layered"
M	Mach number (followed by figures ie .02 = Mach .02)
M (m)	Metres (preceded by figures)
M/E	Multi-engine
MAAT	Manual Authoring and Assessment Tool
MAE	Men and Equipment
MAG	Magnetic
MAHWP	Missed Approach Holding Way-point
MAINT	Maintenance
MAN	Manual
MAP	Aeronautical Maps and Charts
MAP	Manifold Air Pressure
MAPT	Missed Approach Point
MAR	At Sea
MAUW	Maximum All Up Weight
MAWP	Missed Approach Waypoint
MAX	Maximum
MBST	Microburst
MBZ	Mandatory Broadcast Zone
MCC	Multi-crew Co-ordination
MCM	Maintenance control manual
MCQFS	Manual of criteria for the qualification of flight simulators ICAO Doc 9625-AN/938
MCUR	Mean Cycles Between Unscheduled Removals
MCW	Modulated Continuous Wave
MDA	Minimum Descent Altitude
MDF	Medium Frequency Direction Finding Station
MDR	Major Defect Report
MEA	Minimum En-route Altitude
MED	Medical
MEL	Minimum equipment list
MERSITAB	"Manufacturing, Engineering and Related Services Industry Training Advisory Body"
MET	"Meteorological, Meteorology"
MET	REPORT Aviation routine weather report
METAR	Aviation routine weather report (in aeronautical meteorological code)
METRAD	MET Radar
MF	Medium Frequency (300 to 3000 KHZ)
MHZ (mhz)	Megahertz
MIFG	Shallow Fog
MIL	Military
MIL-STD	Military Standard
MIN	Minutes
MIOL	Medium Intensity Obstacle Lights
MIRL	Medium Intensity Runway Lights
MISC	Miscellaneous
MKR	Marker Radio Beacon
MLJ	Military Low Jet
MLJR	Military Low Jet Route
MLS	Microwave Landing System
MLW	Maximum Landing Weight
MM	Middle Marker
MMEL	Master minimum equipment list
MNM	Minimum
MNT	"Monitor, Monitoring,"
MNTN	"Maintain, Maintained, Maintaining"
MOA	Military Operating Area
MOC	Minimum obstacle clearance (required)
MOD	"Moderate, Moderately"
MOD	"Moderate (used to indicate the intensity of WX phenomena, interference or static reports, eg MOD RA = moderate rain)."
MON	Above Mountains
MOPS	Minimum Operational Performance Standards
MOS	Manual of Standards
MOU	Memorandum of understanding
MOV	"Move, Moved, Moving, Movement"
MOWP	Method of Working Plan
MPD	Maintenance Planning Data
MPI	Magnetic Particle Inspection
MPL	Multi-crew Pilot Licence
MPS	Metres per Second
MPT	Magnetic Particle Inspection Technician
MRB	Maintenance Review Board
MRBR	Maintenance Review Board Report
MRG	Medium Range
MRO	"Maintenance, repair and overhaul"
MRP	ATS/MET Reporting Point
MS	Minus
MSA	Minimum sector altitude
MSAS	Multi-function Transport Satellite (MTSAT) Satellite-based Augmentation System
MSDS	Material Safety Data Sheets
MSG	Message
MSG	Maintenance Steering Group
MSG-3	Maintenance Steering Group Logic Process
MSI	Maintenance Significant Item
MSL	Mean Sea Level
MSOS	Maintenance specific operation specification
MSSR	Monopulse Secondary Surveillance Radar
MT	Mountain
MTBF	Mean Time Between Failure
MTBR	Mean Time Between Removals
MTBUR	Mean Time Between Unscheduled Removals
MTO	Maintenance training organisation
MTOW	Maximum take-off weight
MTP	Maximum Tyre Pressure
MTSAT	Multi-function Transport Satellite
MTTF	Mean Time To Failure
MTTR	Mean Time To Repair
MTTUR	Mean Time To Unscheduled Removal
MTUR	Special Term For Data Transmittal
MTW	Mountain waves
MVA	Minimum Vector Altitude
MWO	Meteorological Watch Office
MX	Mixed type of ice formation (white and clear)
N	"North, North Latitude"
N1	Gas Generator Speed
N2	Second Stage Turbine Speed
NAA	National Airworthiness Authority (for a country other than Australia)
NAD	Non-acqueous Developer
NAIPS	National aeronautical information processing system
NANDTB	National Aerospace Non-destructive Testing Board
NANU	Notice Advisory to NavStar Users
NAP	Noise Abatement Procedures
NAS	National Airspace System
NASC	National AIS System Centre
NAT	NAVAID Training
NAV	Navigation
NAVAID	Navigation Aid
NAWD	Non-acqueous Wet Developer
NB	Northbound
NBFR	Not Before
NC	No Change
NDB	Non-directional Radio Beacon
NDI	Non-destructive inspection
NDT	Non-destructive testing
NE	Northeast
NEG	"Negative, No. Permission not granted or, That is not correct"
NFRM	Notice of Final Rule Making
NG	Gas Generator Speed
NGT	Night
NIL	None
NM	Nautical Miles
NML	Normal
NNE	North North-East
NNW	North North-West
NOF	International NOTAM Office
NOSIG	No Significant Change
NOTAM	Notice To Airmen
NOZ	Normal Operating Zone
NP	Propeller Speed
NPA	Non-precision approach (procedures at aerodromes)
NPC	Notice of proposed change (consultation for amendment to a MOS)
NPRM	Notice of proposed rule making
NSC	Nil Significant Cloud
NTA	No TAF Amendment
NTL	National
NTS	Negative Torque Sensing System
NTSB	National Transportation Safety Board (of the USA)
NTZ	No-transgression zone
NVD	Night Vision Device
NVED	Night Vision Enhancement Devices
NVET	National vocational education and training
NVFR	Night Visual Flight Rules
NVG	Night Vision Goggles (by the MIL)
NVIS	Night Vision Imaging Systems
NW	North-West
NXT	Next
NZ	New Zealand
NZ CAA	New Zealand Civil Aviation Authority
NZS	New Zealand Standard
O/R	On Request
OAR	Office of Airspace Regulation
OAT	Outside Air Transport
OAT	Outside Air Temperature
OBPR	Office of Best Practice Regulation
OBPR	Office of Best Practice Regulation
OBS	Omni Bearing Selector
OBS	"Observe, Observed, Observation"
OBSC	"Obscure, Obscured, Obscuring"
OBST	Obstacle
OBSTR	Obstruction
OC	Operating Certificate
OCA	Obstacle Clearing Altitude
OCA	Oceanic Control Area
OCC	Occulting (light)
OCH	Obstacle Clearance Height
OCNL	"Occasional, Occasionally"
OCTA	Outside Control Area
OCTR	Outside Control Zone
OEI	One Engine Inoperative
OEM	Original Equipment Manufacturer
OFZ	Obstacle Free Zone
OHD	Overhead
OHS	Occupation Health and Safety
OHSMS	Occupational Health and Safety Management Systems
OIS	Obstacle Identification Surface
OLC	Office of Legal Counsel
OLDI	On-line Data Interchange
OLS	Obstacle Limitation Surface
OM	Operations Manual
OM	Outer Marker
OPA	"Opaque, white type of ice formation"
OPC	Office of Parliamentary Counsel
OPMET	Operational Meteorological
OPN	Operational Notification Message (message type designator)
OPN	"Open, Opening, Opened"
OPR	"Operator, Operate, Operative, Operating, Operational"
OPS	Operations
OSIP	Overhaul and Special Inspections Periods
OT	Other Times
OTAC	Overseas Territories Aviation Circulars
OTAR	Overseas Territories Aviation Requirements
OTLK	Outlook (used in Sigmet messages for volcanic ash and tropical cyclones)
OTP	On Top
OUBD	Outboard
OVC	Overcast
OW	Over Water
P..	Prohibited Area (followed by identification)
PA	Precision Approach
PAL	Pilot Activated Lighting
PANS	Procedures for Air Navigation Services
PANS-OPS	Procedures for Air Navigation Services - Aircraft Operations ICAO Doc 8168 Vol I and II
PAPI	Precision Approach Path Indicator
PAR	Precision Approach Radar
PARL	Parallel
PATC	Precision Approach Terrain Chart (followed by name/title)
PAX	Passengers
PBM	Power Plant Build-Up Manual
PC	Personal Computer
PCATD	Personal Computer-based Aviation Training Device
PCD	"Proceed, Proceeding"
PCL	Pilot Controlled Lighting
PCN	Pavement classification number
PCT	Practical consolidation training
PDC	Pre-Departure Clearance
PDO	Product distribution organisation
PDOP	Positional Dilution of Precision
PDSE	Pre-departure Service Check
PEC	Pressure Error Correction
PERM	Permanent
PFC	Porous Friction Course
PFR	Preferred Route
PH	Public Holiday
PIB	Pre-flight information bulletin
PIC	Pilot-in-command
PICUS	Pilot-in-Command Under Supervision
PIFR	Private IFR rating
PILS	Practice ILS
PIREP	Pilot Reports
PJE	Parachute Jumping Exercise
PL	Ice Pellets
